run,lag,Exact,QFT2,VB,EP,Laplace,OracleSampling
0,0,1.0,1.0132296853144915,0.7902822790666361,0.5165610339760164,1.018315922130693,1.0046455989913323
0,1,0.2907287629860778,0.2945679481424631,0.0,0.0901000052664263,0.298062776775099,0.29895918754243694
0,2,0.08736085588688296,0.08851723357376795,0.0,0.016788164705710176,0.0902462253884968,0.10558806022666249
0,3,0.030292388298928104,0.030691245972446938,0.0,0.0037043799561907384,0.03152021562211171,0.06454848098992962
0,4,0.012052589488492615,0.012211511110343175,0.0,0.0009333132819978917,0.012629557326610297,0.05868193809611671
0,5,0.0049704843909129165,0.005035975946211904,0.0,0.00024448600761335746,0.005246137613052705,0.05382386525224659
0,6,0.002078535041733884,0.0021059211918296674,0.0,6.476617431602494e-05,0.0022097780793331983,0.055635839721385104
0,7,0.0009009783074763538,0.0009128748257732016,0.0,1.7643860854875997e-05,0.0009650035944554303,0.06176050278843371
0,8,0.0003990812543608121,0.00040436201557270693,0.0,4.91914514193953e-06,0.00043081443162501173,0.06928939396375546
0,9,0.0001857795044034146,0.00018821114676292514,0.0,1.4547216144742163e-06,0.00020220167764519237,0.07248291949170578
0,10,9.93636093819739e-05,0.0001006531508909967,0.0,5.318970607912752e-07,0.0001091092497304761,0.07568310889551744
1,0,1.0,1.0128921383437162,0.7900065873689535,0.5200715330266572,1.0178493351827185,1.0056622430668076
1,1,0.29132881694736784,0.2951036408484495,0.0,0.09086176659457072,0.2985890171094248,0.2926158170428114
1,2,0.0873459069324557,0.08846818599578207,0.0,0.016956763576392763,0.09019312582766947,0.10203582255403597
1,3,0.030294176446143968,0.03068184913433861,0.0,0.0037494192890290073,0.03150836508824089,0.07071938910825183
1,4,0.01205193147807437,0.01220623800729554,0.0,0.0009461679306281231,0.012622982774192337,0.06504172190560878
1,5,0.004962058344168452,0.005025055098806321,0.0,0.0002485285882857831,0.00523414717054349,0.0642881655248681
1,6,0.002075880562933774,0.002102283877711695,0.0,6.59393139658158e-05,0.002205632868712622,0.06154896609292054
1,7,0.0008987219347881258,0.0009101140685898679,0.0,1.799462806213055e-05,0.0009619226784236878,0.06226551722315169
1,8,0.0003981690944020891,0.00040323137133034363,0.0,5.028573156349115e-06,0.0004295091382130727,0.0659916680379071
1,9,0.00018537277015362062,0.00018770269206980827,0.0,1.4903643161371017e-06,0.00020159263975060585,0.06496727765672616
1,10,9.82802815755047e-05,9.945155075145191e-05,0.0,5.456820645290828e-07,0.00010777329549271926,0.08040511555479594
2,0,1.0,1.0131419969003772,0.7906367338133721,0.5175809587241691,1.0181215945694255,1.001548673477748
2,1,0.2906691812028964,0.294474910949689,0.0,0.09032514588799644,0.2979441990752479,0.29642636441714043
2,2,0.08738118592877152,0.0885298352929857,0.0,0.0168274820657107,0.09025271066257624,0.108413246454428
2,3,0.030303238598396367,0.030699677083369844,0.0,0.0037106130478687057,0.031526921003545545,0.06964185470128169
2,4,0.012041327085349001,0.012198124560757915,0.0,0.0009347863456007784,0.012615012211932479,0.060939992502497445
2,5,0.004966189694922155,0.005030823903184736,0.0,0.0002447718706928066,0.005240463207989842,0.06083482034315704
2,6,0.002074206286850007,0.002101043443337087,0.0,6.485044242081432e-05,0.0022045399911376907,0.057492393228415116
2,7,0.0008973856547580295,0.0009089175925138048,0.0,1.7680847620981545e-05,0.0009607628928204125,0.06650804964331714
2,8,0.00039685202021726493,0.00040192115223377974,0.0,4.934753812493328e-06,0.0004281801373346124,0.06484413419763731
2,9,0.0001844388627687544,0.00018674928049959883,0.0,1.4601393864884567e-06,0.00020061107201632935,0.07345326678426356
2,10,9.817732224000306e-05,9.936592172804932e-05,0.0,5.349662081454398e-07,0.00010770283164147313,0.07728430111940512
3,0,1.0,1.012801182024164,0.7912471151843139,0.5214254204287702,1.0177440562252065,1.00445642928672
3,1,0.2897562750293209,0.2933919674876991,0.0,0.09133391024574067,0.29683838111044053,0.29323467390935537
3,2,0.08723725598480714,0.08834075469019763,0.0,0.017056711459000413,0.0900594021403037,0.1032400192161824
3,3,0.030242654699227288,0.03062263475406393,0.0,0.003774022561087189,0.03144629366658616,0.06536579357487056
3,4,0.01201624943042224,0.012166532246907539,0.0,0.0009537913941443879,0.012580770214690703,0.05838614180494452
3,5,0.004955896995211182,0.0050178220319569925,0.0,0.0002504781451867295,0.005226115232043408,0.062289334557832324
3,6,0.0020657672060472314,0.002091190269175136,0.0,6.658144303826915e-05,0.002193792917363464,0.06150168604779476
3,7,0.0008931493190230432,0.0009040337997268906,0.0,1.8211537326826177e-05,0.0009553874614648875,0.06187632095842554
3,8,0.00039513354223522085,0.00039992752571123145,0.0,5.10885679420827e-06,0.0004259292350434078,0.06676880192813067
3,9,0.0001843776089329112,0.0001866101174489083,0.0,1.5148052946535721e-06,0.00020038135115073538,0.07550941066030423
3,10,9.820116791285645e-05,9.935283839378034e-05,0.0,5.547134812144525e-07,0.00010764843678047587,0.07671688384492291
4,0,1.0,1.0130671454732643,0.7903758713698604,0.5181652751472772,1.0181271100363807,1.0013380731753119
4,1,0.2906885242713925,0.29447316834577364,0.0,0.09049836991219852,0.2979729936885468,0.29710852312478037
4,2,0.08732013335338248,0.088457927728121,0.0,0.016874609194193445,0.09018581605167124,0.10559530442714078
4,3,0.030279930202110526,0.03067242595934619,0.0,0.0037278691064654345,0.03150055796735154,0.06277416350809369
4,4,0.012028866387838037,0.012183857037341003,0.0,0.0009404358364982982,0.01260102117009377,0.058240928953925006
4,5,0.004961857642091113,0.005025822971529438,0.0,0.0002468474907142069,0.005235384420394877,0.05881819955782486
4,6,0.002076187864339782,0.0021030303170579464,0.0,6.549602115816422e-05,0.0022066012125083853,0.06279160791826277
4,7,0.0009005470144948336,0.0009122509133830347,0.0,1.783416615007581e-05,0.000964274998759925,0.06616375867843848
4,8,0.00039845615315008235,0.0004036192732730307,0.0,4.985024471132501e-06,0.00042998113526501475,0.06396012403158664
4,9,0.00018565702450626926,0.00018804631048371706,0.0,1.476064846561493e-06,0.0002019989412311415,0.06520259487092954
4,10,9.888736728954988e-05,0.00010012425551411049,0.0,5.400300909418716e-07,0.00010852885077405299,0.059303225514159674
5,0,1.0,1.0127896511353003,0.7900673535392952,0.5214060439974539,1.0176434930872125,1.0056171295326384
5,1,0.2916178708861686,0.2953747934869909,0.0,0.09116802336361507,0.2988491435631978,0.2985891318336132
5,2,0.08757988450457585,0.08870672982188472,0.0,0.017009805396205727,0.0904306959892388,0.10670524059145517
5,3,0.030402140846099067,0.030793145874129856,0.0,0.0037575194752684656,0.03162105605060355,0.06578997968473156
5,4,0.012084862425941766,0.012239808079639503,0.0,0.0009459731847706915,0.012657733791636082,0.06055049732766705
