horizon,repeat,seconds
200,0,0.0004854789995079045
200,1,0.0004025449998152908
200,2,0.0003967569991800701
200,3,0.000398228999983985
200,4,0.00045554400003311457
200,5,0.00042596999992383644
200,6,0.0003995509996457258
200,7,0.0003976380003223312
200,8,0.0004244479996486916
200,9,0.00045973000032972777
400,0,0.0008812739997665631
400,1,0.0007996430003913702
400,2,0.0008637880000605946
400,3,0.0007964179994814913
400,4,0.0007989220002855291
400,5,0.0010356920001868275
400,6,0.000800754999545461
400,7,0.0008123319994410849
400,8,0.0008287960008601658
400,9,0.0008168780004780274
800,0,0.0017569700003150501
800,1,0.0018575290005173883
800,2,0.001645133999772952
800,3,0.0016448339993075933
800,4,0.0016512530000909464
800,5,0.0016747780000514467
800,6,0.0016155299999809358
800,7,0.0017943250004464062
800,8,0.0019364859999768669
800,9,0.0015878689991950523
1600,0,0.0034151930003645248
1600,1,0.0036782420002055005
1600,2,0.0037789719999636873
1600,3,0.003321784000036132
1600,4,0.0033833959996627527
1600,5,0.003667597000458045
1600,6,0.003320352999253373
1600,7,0.0033812229994509835
1600,8,0.0035980239999844343
1600,9,0.0034426740003254963
3200,0,0.007183949999671313
3200,1,0.007017803000053391
3200,2,0.006765049000023282
3200,3,0.007100725999407587
3200,4,0.00732136199985689
3200,5,0.007198931999482738
3200,6,0.0073401299996476155
3200,7,0.0068989869996585185
3200,8,0.007143949999772303
3200,9,0.00688594799976272
6400,0,0.017702332999760984
6400,1,0.018688221000047633
6400,2,0.01650088499991398
6400,3,0.017005120999783685
6400,4,0.016344484000001103
6400,5,0.017713666999952693
6400,6,0.017372021000483073
6400,7,0.0184470419999343
6400,8,0.019383167000341928
6400,9,0.016669413999807148
