run,lambda,lag,normalized_self_energy
2,0.4,14,1.043148847832893e-16
2,0.4,15,8.805507644496736e-17
2,0.4,16,9.187611702696334e-17
2,0.4,17,8.978398773178761e-17
2,0.4,18,8.67342683567038e-17
2,0.4,19,9.158264796517008e-17
2,0.4,20,9.036832974685804e-17
2,0.4,21,9.413338367424802e-17
2,0.4,22,9.214880764841521e-17
2,0.4,23,9.155257767385251e-17
2,0.4,24,8.375866317955852e-17
2,0.4,25,8.266925436454677e-17
2,0.4,26,8.785931505167149e-17
2,0.4,27,9.366438802744035e-17
2,0.4,28,7.762816456845601e-17
2,0.4,29,6.584792578674345e-17
2,0.4,30,4.319333324158009e-17
3,0.4,0,0.006740508117622315
3,0.4,1,0.0010410355924530858
3,0.4,2,1.8490433766178729e-06
3,0.4,3,6.335319318326725e-08
3,0.4,4,4.613800792813528e-09
3,0.4,5,5.203669050855469e-10
3,0.4,6,6.865339978948e-11
3,0.4,7,1.0386202844848054e-11
3,0.4,8,1.5706573486503882e-12
3,0.4,9,2.6590286738337126e-13
3,0.4,10,4.480186047600504e-14
3,0.4,11,8.142432219592708e-15
3,0.4,12,1.4950950765385912e-15
3,0.4,13,2.9555487169264036e-16
3,0.4,14,1.0906096633361282e-16
3,0.4,15,9.07823034123745e-17
3,0.4,16,9.274064147359948e-17
3,0.4,17,9.075203315694105e-17
3,0.4,18,8.748069714255939e-17
3,0.4,19,8.843107862897907e-17
3,0.4,20,9.199208111906393e-17
3,0.4,21,8.872575966848541e-17
3,0.4,22,8.590783097019362e-17
3,0.4,23,8.63143616959015e-17
3,0.4,24,8.110933047770711e-17
3,0.4,25,7.830672751796328e-17
3,0.4,26,7.830725055502256e-17
3,0.4,27,7.32475748020535e-17
3,0.4,28,7.825021241940785e-17
3,0.4,29,6.659135591532448e-17
3,0.4,30,4.651618813057184e-17
4,0.4,0,0.006772620977763793
4,0.4,1,0.001051142292612381
4,0.4,2,1.1991512164389076e-06
4,0.4,3,3.8396602324415976e-08
4,0.4,4,2.7304433948275228e-09
4,0.4,5,3.733213282240433e-10
4,0.4,6,4.947713853029004e-11
4,0.4,7,7.87100112540507e-12
4,0.4,8,1.2778445222755027e-12
4,0.4,9,2.1533362956622866e-13
4,0.4,10,3.5533592059752394e-14
4,0.4,11,5.93290034444499e-15
4,0.4,12,1.1080541280318703e-15
4,0.4,13,2.0644810837691625e-16
4,0.4,14,9.733441554941638e-17
4,0.4,15,9.265976532495638e-17
