run,N,error
0,50,0.16234503698211317
0,100,0.10571599191126708
0,200,0.07021718142724397
0,500,0.0470677407451046
0,1000,0.03872959336813267
0,2000,0.028098680792482816
0,5000,0.01606219155129939
0,10000,0.011296267356379506
0,20000,0.00806950382396208
1,50,0.12049387204500879
1,100,0.08110135010982208
1,200,0.05741869473211345
1,500,0.03976697540843838
1,1000,0.029000897311613198
1,2000,0.019044022910664378
1,5000,0.010944155007088823
1,10000,0.008636131750629081
1,20000,0.006538524541613321
2,50,0.11921593809831794
2,100,0.08617108940097436
2,200,0.06781713378281662
2,500,0.04798200538393272
2,1000,0.031676642175579306
2,2000,0.022288430474223474
2,5000,0.014125035152911013
2,10000,0.010047535426528427
2,20000,0.006800258276065912
3,50,0.10124354419877699
3,100,0.07222946368810247
3,200,0.05554896149437006
3,500,0.03396181039394047
3,1000,0.027949024053124296
3,2000,0.01816480436581356
3,5000,0.011900152272864242
3,10000,0.00836849662722318
3,20000,0.005490544342999992
4,50,0.13973889025679315
4,100,0.09889390431255544
4,200,0.07079465675931672
4,500,0.03909038736827415
4,1000,0.030178062452725963
4,2000,0.022462777790022353
4,5000,0.01354360783894915
4,10000,0.008722908496557767
4,20000,0.006260642280977858
5,50,0.12696048057848733
5,100,0.08210348851999603
5,200,0.05860536586331285
5,500,0.03597404756945881
5,1000,0.02978770595905619
5,2000,0.018457302544684515
5,5000,0.010934364825708951
5,10000,0.008511401765092028
5,20000,0.005524981947835386
6,50,0.15759579247049063
6,100,0.10518763659857308
6,200,0.07013549504606771
6,500,0.03990395888719385
6,1000,0.030731582473890354
6,2000,0.02208865700133209
6,5000,0.015560757856162717
6,10000,0.009892088751838736
6,20000,0.006433478036115639
7,50,0.11794633987885388
7,100,0.08656351641102378
7,200,0.07288132623806536
7,500,0.04080180495362966
7,1000,0.028332403869829378
7,2000,0.020422665687213497
7,5000,0.013109620867158186
7,10000,0.009164842136039335
7,20000,0.006149097109463752
8,50,0.14714247929916258
8,100,0.12410456352825239
8,200,0.07952993126076327
8,500,0.0590306208908015
8,1000,0.038374064191652874
8,2000,0.027202679092487254
8,5000,0.013760203872044439
8,10000,0.008754078019539703
8,20000,0.007580245325717494
9,50,0.1451057974440594
9,100,0.1064221652519076
9,200,0.06569092516472819
9,500,0.03994904298697629
9,1000,0.03296408476194218
9,2000,0.020325653723684105
9,5000,0.012740542793051231
9,10000,0.009575783429277472
9,20000,0.006193022761318514
