run,epsilon,mean_QFT2,cov_QFT2,mean_VB,cov_VB,mean_EP,cov_EP,mean_Laplace,cov_Laplace,mean_OracleSampling,cov_OracleSampling
0,0.01,1.5976321203730473e-07,5.991258387807377e-07,3.636715374423354e-05,0.46099028542230686,0.027726156570179402,0.03284154360508193,0.0006765822633638115,0.0009204619863557259,0.028312619965441287,0.18214109707341902
0,0.02,1.2629659332955362e-06,4.668336783945386e-06,7.318254600437953e-05,0.4609696332498618,0.05330461289234372,0.06339172609257133,0.0013344274040953744,0.00181513095657146,0.02604085531433892,0.18101486173686698
0,0.04,9.871179224109884e-06,3.5468394270621996e-05,0.00013243567816022364,0.46093470492765326,0.09896777566211137,0.11852113218491012,0.002596816809087191,0.0035311440707412886,0.02131728950912074,0.18598418561942995
0,0.07,5.1153665563841897e-05,0.00017639218352632138,0.0002130515861272228,0.4608868888812688,0.1564608841449007,0.1889676267843557,0.004367111651977511,0.005935715356063685,0.026031124069836892,0.1875652579825686
0,0.1,0.00014441246364812978,0.0004786125062720565,0.00029265211710709444,0.4608431467556769,0.20393259256277785,0.2479429016703402,0.00600367815707009,0.008156709139389368,0.025157323683815104,0.18378608077900835
0,0.16,0.0005568148686270903,0.0017116017521543797,0.000420982530969917,0.46077027908123613,0.2779780183120526,0.34117987275336564,0.008929584266102809,0.012122813904531226,0.021136902142395792,0.1862697616042658
0,0.25,0.001956479328621196,0.005419618250165633,0.0005698599352631614,0.46068242122750286,0.3561116363833655,0.44069988582295055,0.012609526611908504,0.017102484354481667,0.026834064157385294,0.1855063588538141
0,0.36,0.005344206592997163,0.013192629163336973,0.0007013167174895042,0.46060675612654034,0.42106851967346315,0.5236140322377797,0.01622730578694253,0.02198868713585565,0.021096853429218677,0.18575893766748955
1,0.01,1.57855029904627e-07,5.774856024529016e-07,3.990655189444212e-05,0.46103354393134033,0.025064885461200642,0.03229116520205144,0.0007419262985793169,0.0008908748657460994,0.017900265096732745,0.18462466253017842
1,0.02,1.2480250070295855e-06,4.501093836888687e-06,7.753580246916459e-05,0.4610566090016495,0.04835474808673501,0.0623746032794751,0.0014634549904626575,0.0017561981286783207,0.021719466524593764,0.18606736202619079
1,0.04,9.756554404118769e-06,3.421757648486457e-05,0.0001424171653031756,0.46110008026537846,0.09033537634019591,0.1167678773068861,0.0028484687350842533,0.0034143108584251004,0.022132109216133056,0.18102188284076096
1,0.07,5.057525733005257e-05,0.00017030735576999248,0.0002423988219630617,0.46116525573959505,0.143939477528781,0.1864605818204498,0.004791664968447312,0.005734202579448946,0.01758189382657496,0.18698334664818608
1,0.1,0.00014282011702352246,0.00046243518339138246,0.0003265353785954684,0.4612333334670873,0.18883869356465016,0.24495256281683744,0.006589072026632415,0.007873336942665562,0.022221949865181674,0.18628063250328017
1,0.16,0.0005509536564846171,0.0016558058858060158,0.0004644728039660281,0.4613362541424095,0.260038819803277,0.3376679761614891,0.009805007459559437,0.011684669134943917,0.02035742903446851,0.18451018451107384
1,0.25,0.0019371077168029293,0.005250666349646317,0.0006213748156452329,0.4614862337645159,0.3367081992934579,0.43691135482525717,0.01385442577761151,0.016454703468119097,0.01665568840930399,0.18373911020808953
1,0.36,0.005294553785497703,0.01279829251867863,0.0007588582199774053,0.4616487948282894,0.401611475637518,0.5197819263879291,0.017840836929894358,0.021119067115179104,0.01651895156484422,0.19011503077004716
2,0.01,1.5821250350669756e-07,5.899978349606769e-07,4.533850879233351e-05,0.46098115096718956,0.028385341759827407,0.03244857995596737,0.0007957021166549436,0.0009057917123846418,0.022136702618351458,0.18717851315929962
2,0.02,1.2508226690586171e-06,4.597833565601969e-06,9.252846995016188e-05,0.46095421386450475,0.05458460328383341,0.06268066126558912,0.0015695778458401032,0.0017857607421230101,0.023119002524495315,0.18941920431586576
2,0.04,9.77799810991606e-06,3.494169120742746e-05,0.0001689649580108375,0.4609024899871038,0.1013735830325734,0.11734574840187979,0.0030552123363015373,0.003472368384474493,0.02126413451639362,0.18574964767692173
2,0.07,5.068332570082523e-05,0.00017383404840126085,0.00028801476823435635,0.46083327789406775,0.16028108123359008,0.18737413097791314,0.005139887918840363,0.005833075998409287,0.023242923017023704,0.18475862566780946
2,0.1,0.00014311727392662827,0.0004718216235049721,0.00038778135931259527,0.46077289452541703,0.20888428024376757,0.24612040186996376,0.007068480525488668,0.008010821764926908,0.02347868772865581,0.18777723829534373
2,0.16,0.0005520451243722983,0.0016882446844487524,0.0005541843815828211,0.46067648709613734,0.2845615535390772,0.339160173790837,0.010519907954535933,0.011893249344883018,0.022831652911433638,0.18609009666721907
2,0.25,0.0019407053935334203,0.005349149148245768,0.0007565310191379542,0.4605479693017817,0.3641535106934677,0.4386215739588703,0.014867270194029518,0.016756352889113164,0.024821380577990035,0.18707437133107857
2,0.36,0.005303750830460749,0.01302877593658567,0.0009305703934594251,0.46044325075322895,0.43005053374438396,0.5215677444397959,0.01914853622512716,0.021516009449850708,0.023745549560533097,0.18558088078204774
3,0.01,1.5500617407958528e-07,5.72698919634475e-07,4.6479182954929696e-05,0.46091991839647095,0.030737532594887124,0.03153981900592632,0.00079598127477043,0.0008896832650093416,0.01676307219851296,0.18544111122634926
3,0.02,1.2257130445803343e-06,4.464266364732001e-06,9.216361802102776e-05,0.46083388026216254,0.05919031693267135,0.060990869397064516,0.0015703988853117007,0.001753864244775818,0.017055159591844584,0.18381555393384155
3,0.04,9.585297283482152e-06,3.394452218368652e-05,0.00017262746465716578,0.4606693028623126,0.11020070938756545,0.11454022490465385,0.003057831146546855,0.003409836203874785,0.018343044678367615,0.18595438039351406
3,0.07,4.971049412247825e-05,0.00016899531455669454,0.00028762811959877306,0.460444876838959,0.1746293266932297,0.1836162943194385,0.005146742854992935,0.005726859304629487,0.01721243681310365,0.1900213682126543
3,0.1,0.00014043796423657075,0.0004589871170431161,0.0003882775052926695,0.4602453791635035,0.2277973428222479,0.24189149072106228,0.007081083268234829,0.007863507387826575,0.020134761201152523,0.1877496531205542
3,0.16,0.0005421756171080213,0.0016441629192469308,0.000560741311792707,0.4598812176861398,0.31022960967545843,0.3346128847492496,0.010547349838394678,0.011670882693770842,0.017789226232106763,0.18770358941132353
3,0.25,0.0019080560470009268,0.005216375921110604,0.0007641053198335885,0.4594604343003134,0.3959273105977271,0.4340841597736183,0.014922151483726758,0.016437058323243155,0.014685922888179919,0.18370276553245127
3,0.36,0.005219990023393823,0.012720533746547542,0.0009473231064599256,0.45907119194247803,0.46568772021769483,0.5171875985234183,0.019240637421277473,0.021099170816853672,0.016557846338494022,0.1857332826079433
4,0.01,1.5875752916745077e-07,5.893572433187484e-07,3.794607092731122e-05,0.46099782924640514,0.027680044270613338,0.032571435970468306,0.00069230518219092,0.000909529807565035,0.019179380826954372,0.18225287412006694
