run,lag,bare,inverse_two_point,self_energy
0,0,1.0,1.0122142907863672,0.012313242901976596
0,1,0.2743154722166335,0.27621394697616664,0.0019019234242000924
0,2,0.0,4.495617399023805e-06,4.495617399023805e-06
0,3,0.0,1.6696985646668363e-07,1.6696985646668363e-07
0,4,0.0,1.2519805360952611e-08,1.2519805360952611e-08
0,5,0.0,1.440059794043309e-09,1.440059794043309e-09
0,6,0.0,2.0746867625911404e-10,2.0746867625911404e-10
0,7,0.0,3.2426535120922155e-11,3.2426535120922155e-11
0,8,0.0,5.5123648455234025e-12,5.5123648455234025e-12
0,9,0.0,9.978910116991826e-13,9.978910116991826e-13
0,10,0.0,1.7337378786665724e-13,1.7337378786665724e-13
0,11,0.0,3.2293476427547085e-14,3.2293476427547085e-14
0,12,0.0,5.750117010401372e-15,5.750117010401372e-15
0,13,0.0,9.754960128461097e-16,9.754960128461097e-16
0,14,0.0,3.303785928618623e-16,3.303785928618623e-16
0,15,0.0,2.860245206660838e-16,2.860245206660838e-16
0,16,0.0,2.9496901975680026e-16,2.9496901975680026e-16
0,17,0.0,2.9782614421526686e-16,2.9782614421526686e-16
0,18,0.0,2.972389975478776e-16,2.972389975478776e-16
0,19,0.0,2.855719973777921e-16,2.855719973777921e-16
0,20,0.0,2.9565070771653764e-16,2.9565070771653764e-16
0,21,0.0,2.8482886539847893e-16,2.8482886539847893e-16
0,22,0.0,2.6376867209544805e-16,2.6376867209544805e-16
0,23,0.0,2.5347533160649594e-16,2.5347533160649594e-16
0,24,0.0,2.619684328619402e-16,2.619684328619402e-16
0,25,0.0,2.744915979652982e-16,2.744915979652982e-16
0,26,0.0,2.7874255115005567e-16,2.7874255115005567e-16
0,27,0.0,2.645118467150541e-16,2.645118467150541e-16
0,28,0.0,2.6936324687432287e-16,2.6936324687432287e-16
0,29,0.0,2.373625164660689e-16,2.373625164660689e-16
0,30,0.0,1.3124601493368637e-16,1.3124601493368637e-16
1,0,1.0,1.0122232637555362,0.012322066132195844
1,1,0.2741853695357684,0.2760888876049329,0.001907006398392291
1,2,0.0,3.742767323539616e-06,3.742767323539616e-06
1,3,0.0,1.2406691158876216e-07,1.2406691158876216e-07
1,4,0.0,8.160110149035088e-09,8.160110149035088e-09
1,5,0.0,9.985666088876027e-10,9.985666088876027e-10
1,6,0.0,1.4711602921524892e-10,1.4711602921524892e-10
1,7,0.0,2.4552398762789058e-11,2.4552398762789058e-11
1,8,0.0,3.854151238394699e-12,3.854151238394699e-12
1,9,0.0,6.524703837544126e-13,6.524703837544126e-13
1,10,0.0,1.1822511508829993e-13,1.1822511508829993e-13
1,11,0.0,2.024401281009316e-14,2.024401281009316e-14
1,12,0.0,3.4098540071052986e-15,3.4098540071052986e-15
1,13,0.0,7.123542739714352e-16,7.123542739714352e-16
1,14,0.0,3.175258333056516e-16,3.175258333056516e-16
1,15,0.0,2.9444898333404037e-16,2.9444898333404037e-16
1,16,0.0,3.029834275025848e-16,3.029834275025848e-16
1,17,0.0,2.9350910759445843e-16,2.9350910759445843e-16
1,18,0.0,2.9145314092220247e-16,2.9145314092220247e-16
1,19,0.0,2.991681971115099e-16,2.991681971115099e-16
1,20,0.0,3.029565184469754e-16,3.029565184469754e-16
1,21,0.0,2.8669389283260774e-16,2.8669389283260774e-16
1,22,0.0,2.70471917320922e-16,2.70471917320922e-16
1,23,0.0,2.7918552437822824e-16,2.7918552437822824e-16
1,24,0.0,2.7224457338344955e-16,2.7224457338344955e-16
1,25,0.0,2.4657076261543904e-16,2.4657076261543904e-16
1,26,0.0,2.714903686767617e-16,2.714903686767617e-16
1,27,0.0,2.602015590097591e-16,2.602015590097591e-16
1,28,0.0,2.4466502500586755e-16,2.4466502500586755e-16
1,29,0.0,2.0696890822387515e-16,2.0696890822387515e-16
1,30,0.0,1.6062078785126627e-16,1.6062078785126627e-16
2,0,1.0,1.0122207823599587,0.01232027409208477
2,1,0.27426055523822573,0.2761635841727641,0.0019068180527793612
2,2,0.0,3.8770585588980924e-06,3.8770585588980924e-06
2,3,0.0,1.2054598204275607e-07,1.2054598204275607e-07
2,4,0.0,7.570787434075218e-09,7.570787434075218e-09
2,5,0.0,8.238623962840952e-10,8.238623962840952e-10
2,6,0.0,1.3225370211316176e-10,1.3225370211316176e-10
2,7,0.0,2.137810614695125e-11,2.137810614695125e-11
2,8,0.0,3.769907260609093e-12,3.769907260609093e-12
2,9,0.0,6.986701485180734e-13,6.986701485180734e-13
2,10,0.0,1.2687097007579985e-13,1.2687097007579985e-13
2,11,0.0,2.0650019226660418e-14,2.0650019226660418e-14
2,12,0.0,3.6799799461065694e-15,3.6799799461065694e-15
2,13,0.0,7.176993106684885e-16,7.176993106684885e-16
2,14,0.0,3.434110564491013e-16,3.434110564491013e-16
2,15,0.0,2.8926827190278184e-16,2.8926827190278184e-16
2,16,0.0,3.017540992221264e-16,3.017540992221264e-16
2,17,0.0,2.9494707253214236e-16,2.9494707253214236e-16
2,18,0.0,2.8524176408697747e-16,2.8524176408697747e-16
2,19,0.0,3.0095673110809133e-16,3.0095673110809133e-16
2,20,0.0,2.9679606869416184e-16,2.9679606869416184e-16
2,21,0.0,3.095001130006824e-16,3.095001130006824e-16
2,22,0.0,3.0338141009158927e-16,3.0338141009158927e-16
2,23,0.0,3.0139720034903534e-16,3.0139720034903534e-16
2,24,0.0,2.754792051039931e-16,2.754792051039931e-16
2,25,0.0,2.7187487205364286e-16,2.7187487205364286e-16
2,26,0.0,2.8917709555652093e-16,2.8917709555652093e-16
2,27,0.0,3.0903657319101825e-16,3.0903657319101825e-16
2,28,0.0,2.5682799285810754e-16,2.5682799285810754e-16
2,29,0.0,2.1774164630363139e-16,2.1774164630363139e-16
2,30,0.0,1.4320126546396007e-16,1.4320126546396007e-16
3,0,1.0,1.012188145215918,0.01228936439697602
3,1,0.27461801615022124,0.2764997090967279,0.0018858900015006012
3,2,0.0,6.195464146108907e-06,6.195464146108907e-06
3,3,0.0,2.118232745219459e-07,2.118232745219459e-07
3,4,0.0,1.540031002013065e-08,1.540031002013065e-08
3,5,0.0,1.7328447041820906e-09,1.7328447041820906e-09
3,6,0.0,2.2817179307960618e-10,2.2817179307960618e-10
3,7,0.0,3.443010958206472e-11,3.443010958206472e-11
3,8,0.0,5.200611589563165e-12,5.200611589563165e-12
3,9,0.0,8.796651867950188e-13,8.796651867950188e-13
3,10,0.0,1.4815690679065316e-13,1.4815690679065316e-13
3,11,0.0,2.6974659049218747e-14,2.6974659049218747e-14
3,12,0.0,4.951314050514101e-15,4.951314050514101e-15
3,13,0.0,9.780615851748744e-16,9.780615851748744e-16
3,14,0.0,3.5970644153606644e-16,3.5970644153606644e-16
3,15,0.0,2.9903780844770197e-16,2.9903780844770197e-16
3,16,0.0,3.0559612982502827e-16,3.0559612982502827e-16
3,17,0.0,2.988221009363634e-16,2.988221009363634e-16
3,18,0.0,2.880008904576517e-16,2.880008904576517e-16
3,19,0.0,2.914135941049946e-16,2.914135941049946e-16
3,20,0.0,3.0320168388984667e-16,3.0320168388984667e-16
3,21,0.0,2.925231737408727e-16,2.925231737408727e-16
3,22,0.0,2.835632647635733e-16,2.835632647635733e-16
3,23,0.0,2.8534455230041364e-16,2.8534455230041364e-16
3,24,0.0,2.6850953010820843e-16,2.6850953010820843e-16
3,25,0.0,2.5900841596905427e-16,2.5900841596905427e-16
3,26,0.0,2.588925549133522e-16,2.588925549133522e-16
3,27,0.0,2.42690938912851e-16,2.42690938912851e-16
3,28,0.0,2.5935018154709225e-16,2.5935018154709225e-16
3,29,0.0,2.2144423444074077e-16,2.2144423444074077e-16
3,30,0.0,1.5684248787451501e-16,1.5684248787451501e-16
4,0,1.0,1.012214904920513,0.012315091853280726
4,1,0.27427941401016154,0.27617832580494245,0.0019029503168477924
4,2,0.0,3.972015359787817e-06,3.972015359787817e-06
4,3,0.0,1.268420345483262e-07,1.268420345483262e-07
4,4,0.0,9.030753491930698e-09,9.030753491930698e-09
4,5,0.0,1.2336738125844021e-09,1.2336738125844021e-09
4,6,0.0,1.6346491479780617e-10,1.6346491479780617e-10
4,7,0.0,2.6038029377567173e-11,2.6038029377567173e-11
4,8,0.0,4.218363086707959e-12,4.218363086707959e-12
4,9,0.0,7.114094881249258e-13,7.114094881249258e-13
4,10,0.0,1.1728185057943021e-13,1.1728185057943021e-13
4,11,0.0,1.957345269275108e-14,1.957345269275108e-14
4,12,0.0,3.65989853349243e-15,3.65989853349243e-15
4,13,0.0,6.808867042551003e-16,6.808867042551003e-16
4,14,0.0,3.201366743110938e-16,3.201366743110938e-16
4,15,0.0,3.0481321997554204e-16,3.0481321997554204e-16
4,16,0.0,3.0245206107792867e-16,3.0245206107792867e-16
4,17,0.0,2.9220352879297576e-16,2.9220352879297576e-16
4,18,0.0,2.9644042738066444e-16,2.9644042738066444e-16
4,19,0.0,2.946281629458435e-16,2.946281629458435e-16
4,20,0.0,2.922715599784293e-16,2.922715599784293e-16
4,21,0.0,2.788998794663707e-16,2.788998794663707e-16
4,22,0.0,2.7935624930650217e-16,2.7935624930650217e-16
4,23,0.0,2.7072808210107606e-16,2.7072808210107606e-16
4,24,0.0,2.706872453195316e-16,2.706872453195316e-16
4,25,0.0,2.868233383301123e-16,2.868233383301123e-16
4,26,0.0,2.914426221786201e-16,2.914426221786201e-16
4,27,0.0,2.611718168469776e-16,2.611718168469776e-16
4,28,0.0,2.476221628729634e-16,2.476221628729634e-16
4,29,0.0,2.2285961251865346e-16,2.2285961251865346e-16
4,30,0.0,1.832075952992681e-16,1.832075952992681e-16
5,0,1.0,1.0122198989154143,0.01231947065465165
5,1,0.2742021409948934,0.2761036228905422,0.001905251992614954
5,2,0.0,3.905207858623238e-06,3.905207858623238e-06
5,3,0.0,1.1683246645424191e-07,1.1683246645424191e-07
5,4,0.0,8.461400999803423e-09,8.461400999803423e-09
