run,range,h,sigma_norm,margin
0,0,5.258161751108926,0.44391728101557354,4.814244470093352
0,1,5.258161751108926,0.5846676354539837,4.673494115654941
0,2,5.258161751108926,0.5844252239466537,4.673736527162272
0,3,5.258161751108926,0.5844316761041977,4.673730075004728
0,4,5.258161751108926,0.5844316870092455,4.67373006409968
0,5,5.258161751108926,0.584431684652082,4.6737300664568435
0,6,5.258161751108926,0.5844316845446081,4.6737300665643176
0,7,5.258161751108926,0.584431684642344,4.6737300664665815
0,8,5.258161751108926,0.5844316846441734,4.673730066464752
0,9,5.258161751108926,0.584431684644831,4.673730066464095
0,10,5.258161751108926,0.5844316846446882,4.673730066464238
1,0,5.221443282356282,0.44587551720941426,4.775567765146868
1,1,5.221443282356282,0.583384740904593,4.638058541451689
1,2,5.221443282356282,0.583105054876653,4.638338227479629
1,3,5.221443282356282,0.5831064438628403,4.638336838493442
1,4,5.221443282356282,0.5831063105440941,4.638336971812188
1,5,5.221443282356282,0.583106312967094,4.638336969389188
1,6,5.221443282356282,0.5831063130559743,4.638336969300308
1,7,5.221443282356282,0.5831063130735608,4.638336969282721
1,8,5.221443282356282,0.5831063130718462,4.638336969284436
1,9,5.221443282356282,0.5831063130720409,4.638336969284241
1,10,5.221443282356282,0.5831063130720614,4.638336969284221
2,0,5.267547366436254,0.458224344731411,4.809323021704843
2,1,5.267547366436254,0.5894528829671457,4.678094483469108
2,2,5.267547366436254,0.5890720358389685,4.678475330597285
2,3,5.267547366436254,0.5890745132303323,4.678472853205922
2,4,5.267547366436254,0.5890744810989863,4.678472885337268
2,5,5.267547366436254,0.5890744805409814,4.678472885895273
2,6,5.267547366436254,0.5890744803212977,4.678472886114957
2,7,5.267547366436254,0.5890744803304478,4.678472886105807
2,8,5.267547366436254,0.5890744803399098,4.678472886096344
2,9,5.267547366436254,0.5890744803387093,4.678472886097545
2,10,5.267547366436254,0.5890744803387712,4.678472886097483
3,0,5.403344194453308,0.514855513049834,4.888488681403475
3,1,5.403344194453308,0.6038936136192685,4.79945058083404
3,2,5.403344194453308,0.6031062994735623,4.800237894979746
3,3,5.403344194453308,0.6031261450213258,4.800218049431982
3,4,5.403344194453308,0.6031253733680793,4.800218821085229
3,5,5.403344194453308,0.6031254049019351,4.800218789551373
3,6,5.403344194453308,0.6031254036907795,4.800218790762528
3,7,5.403344194453308,0.6031254038357434,4.800218790617565
3,8,5.403344194453308,0.6031254038260787,4.80021879062723
3,9,5.403344194453308,0.603125403826637,4.800218790626671
3,10,5.403344194453308,0.6031254038266223,4.800218790626686
4,0,5.342236081813138,0.4833031249565485,4.85893295685659
4,1,5.342236081813138,0.5956598959024927,4.746576185910645
4,2,5.342236081813138,0.5953001450721899,4.7469359367409485
4,3,5.342236081813138,0.5953043387937507,4.746931743019387
4,4,5.342236081813138,0.5953042574136312,4.746931824399507
4,5,5.342236081813138,0.5953042658327206,4.7469318159804175
4,6,5.342236081813138,0.5953042652344853,4.746931816578653
4,7,5.342236081813138,0.5953042652940139,4.746931816519124
4,8,5.342236081813138,0.59530426529207,4.7469318165210685
4,9,5.342236081813138,0.5953042652923431,4.746931816520795
4,10,5.342236081813138,0.5953042652923328,4.746931816520806
5,0,5.207871255737474,0.45905420246464845,4.748817053272825
5,1,5.207871255737474,0.5868713046394385,4.620999951098035
5,2,5.207871255737474,0.5862149564621384,4.621656299275335
5,3,5.207871255737474,0.5862205338354499,4.621650721902024
5,4,5.207871255737474,0.5862203907318456,4.621650865005628
5,5,5.207871255737474,0.5862203970280963,4.621650858709377
5,6,5.207871255737474,0.5862203964220436,4.62165085931543
5,7,5.207871255737474,0.5862203963380901,4.6216508593993835
5,8,5.207871255737474,0.586220396339631,4.6216508593978425
5,9,5.207871255737474,0.586220396339183,4.621650859398291
5,10,5.207871255737474,0.5862203963391226,4.621650859398351
6,0,5.337851106704277,0.4493326882026953,4.888518418501582
6,1,5.337851106704277,0.5846615176304655,4.753189589073812
6,2,5.337851106704277,0.5842288840906761,4.753622222613601
6,3,5.337851106704277,0.5842381842373283,4.7536129224669486
6,4,5.337851106704277,0.5842379897466724,4.753613116957605
6,5,5.337851106704277,0.5842379912359266,4.753613115468351
6,6,5.337851106704277,0.5842379924526377,4.753613114251639
6,7,5.337851106704277,0.5842379922723868,4.75361311443189
6,8,5.337851106704277,0.5842379922842306,4.753613114420046
6,9,5.337851106704277,0.5842379922838152,4.753613114420462
6,10,5.337851106704277,0.5842379922840718,4.753613114420205
7,0,5.342999856792849,0.4593735653419964,4.883626291450852
7,1,5.342999856792849,0.5881307049965367,4.754869151796312
7,2,5.342999856792849,0.5877689984058738,4.755230858386975
7,3,5.342999856792849,0.5877797583125355,4.755220098480313
7,4,5.342999856792849,0.5877797953596192,4.75522006143323
